Ref,Val,Package,PosX,PosY,Rot,Side
"J1","SM06B-SRSS-TB(LF)(SN)","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",0.000000,6.600000,180.000000,bottom
"C1","100n X7R 16V","C_0603_1608Metric",5.700000,1.400000,0.000000,top
"C2","10u X5R 25V / GRM219R61E106KA12D","C_0805_2012Metric",5.700000,-2.300000,0.000000,top
"R1","33R","R_0603_1608Metric",-6.000000,0.650000,180.000000,top
"R2","10k","R_0603_1608Metric",-6.000000,-2.400000,0.000000,top
"U1","AS5048A-HTSP-500","TSSOP-14_4.4x5mm_P0.65mm",0.000000,0.000000,0.000000,top
